"Sheltered Housing Complex Name / Address",Postcode,Provider,Area,"Web Page Link","No of Units","Unit Types","Community Room",Laundry,Guestroom,Location
"Abbey Court","EH7 5XN","<a href="" http://www.edinburgh.gov.uk/directory_record/179349/blackwood_housing_association""> Blackwood Housing Association </a>",Abbeyhill,"<a href="" http://www.mbha.org.uk/housing/our-properties/abbey-court/""> Abbey Court </a>",37,"Studio Flats:			15
1 Bedroom Flats:		16
2 Bedroom Flats:		3
3 Bedroom Flats:		2
4 Bedroom Flats:		1
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.95665425540941,-3.1683218479156494"
"Academy Park","EH6 8JL","<a href="" http://www.edinburgh.gov.uk/directory_record/179351/port_of_leith_housing_association""> Port of Leith Housing Association </a>",Leith,,39,"Studio Flats:		0
1 Bedroom Flats:		38
2 Bedroom Flats:		0
3 Bedroom Flats:		1
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,Yes,Yes,"55.9676620843249,-3.167538642883301"
"Argyle Park House, Gillespie Crescent","EH9 1JY","<a href="" http://www.edinburgh.gov.uk/directory_record/179353/viewpoint_housing_association""> Viewpoint Housing Association </a>",Meadows,,64,"Studio Flats:		8
1 Bedroom Flats:		54
2 Bedroom Flats:		2
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",Yes,Yes,No,"55.939604860335045,-3.192601203918457"
"Argyle Street / Hopefield Terrace","EH6 4AA","<a href="" http://www.edinburgh.gov.uk/directory_record/179349/blackwood_housing_association""> Blackwood Housing Association </a>",Leith,"<a href=""http://www.mbha.org.uk/housing/our-properties/hopefield-terrace-argyle-street-leith/ ""> Argyle Street / Hopefield Terrace </a>",10,"Studio Flats:		0
1 Bedroom Flats:		2
2 Bedroom Flats:		5
3 Bedroom Flats:		0
4 Bedroom Flats:		3
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.9771360381648,-3.1812071800231934"
"Ashton Grove","EH16 5TR","<a href=""http://www.edinburgh.gov.uk/directory_record/179340/city_of_edinburgh_council""> City of Edinburgh Council </a>",Inch,,20,"Studio Flats:			0
1 Bedroom Flats:		0
2 Bedroom Flats:		0
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			20
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.92061821563319,-3.1552648544311523"
"Baberton Park","EH14 5DW","<a href=""http://www.edinburgh.gov.uk/directory_record/179340/city_of_edinburgh_council""> City of Edinburgh Council </a>",Baberton,,20,"Studio Flats:		0
1 Bedroom Flats:		0
2 Bedroom Flats:		0
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			20
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.90325222987043,-3.286929130554199"
"Balfour Court","EH12 8UP","<a href="" http://www.edinburgh.gov.uk/directory_record/179343/castle_rock_edinvar""> Castle Rock Edinvar </a>","East Craigs",,44,"Studio Flats:			38
1 Bedroom Flats:		6
2 Bedroom Flats:		0
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.952719983837206,-3.30413818359375"
"Balfour House","EH16 5LB","<a href="" http://www.edinburgh.gov.uk/directory_record/179353/viewpoint_housing_association""> Viewpoint Housing Association </a>",Prestonfield,,102,"Studio Flats:		12
1 Bedroom Flats:		58
2 Bedroom Flats:		32
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",Yes,Yes,No,"55.92967093886055,-3.1614017486572266"
"Bedford Court","EH4 1JX","<a href=""http://www.edinburgh.gov.uk/directory_record/179340/city_of_edinburgh_council""> City of Edinburgh Council </a>",Stockbridge,,26,"Studio Flats:			0
1 Bedroom Flats:		26
2 Bedroom Flats:		0
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.958113738448816,-3.2137370109558105"
"Bingham Drive","EH15 3JS","<a href="" http://www.edinburgh.gov.uk/directory_record/179352/trust_housing_association""> Trust Housing Association </a>",Bingham,"<a href="" http://www.trustha.org.uk/ourservices/developinfo.php?dev_ID=125 ""> Bingham Drive </a>",32,"Studio Flats:			0
1 Bedroom Flats:		30
2 Bedroom Flats:		2
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.93919024667907,-3.119344711303711"
"Brookwell Court","EH4 4PD","<a href=""http://www.edinburgh.gov.uk/directory_record/179339/bield_housing_association""> Bield Housing Association </a>",Muirhouse,"<a title=""Brookwell Court"" href=""http://www.bield.co.uk/5d0e7252a60d4be9a9420847e602be3d?site=0770102c-09d2-4e82-8e3c-fcd8fb1e49a5"" target=""_top"">Bield Housing & Care: Brookwell Court</a>",30,"Studio Flats:			0
1 Bedroom Flats:		30
2 Bedroom Flats:		0
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.97236933237695,-3.259463310241699"
"Broomhouse Place North","EH11 3UE","<a href=""http://www.edinburgh.gov.uk/directory_record/179340/city_of_edinburgh_council""> City of Edinburgh Council </a>",Broomhouse,,19,"Studio Flats:		0
1 Bedroom Flats:		0
2 Bedroom Flats:		0
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			19
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.928637135863916,-3.279966115951538"
"Broomhouse Walk","EH11 3UJ","<a href=""http://www.edinburgh.gov.uk/directory_record/179340/city_of_edinburgh_council""> City of Edinburgh Council </a>",Broomhouse,,22,"Studio Flats:		0
1 Bedroom Flats:		18
2 Bedroom Flats:		0
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			4
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.92683392509547,-3.2809853553771973"
"Buccleuch Street","EH8 8LP","<a href=""http://www.edinburgh.gov.uk/directory_record/179338/barony_housing_association""> Barony Housing Association </a>",Southside,,2,"Studio Flats:			0
1 Bedroom Flats:		2
2 Bedroom Flats:		0
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.94172593033451,-3.183760643005371"
"Buchanan Street","EH6 8RF","<a href="" http://www.edinburgh.gov.uk/directory_record/179351/port_of_leith_housing_association""> Port of Leith Housing Association </a>",Leith,,19,"Studio Flats:		0
1 Bedroom Flats:		15
2 Bedroom Flats:		4
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.964395494000726,-3.1751346588134766"
"Caerketton Cottages","EH13 9QT","<a href="" http://www.edinburgh.gov.uk/directory_record/179342/crown_housing_association""> Crown Housing Association </a>",Oxgangs,,13,"Studio Flats:			0
1 Bedroom Flats:		8
2 Bedroom Flats:		0
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	3
2 Bedroom Bungalows:	2
",No,No,No,"55.913102729083214,-3.2329845428466797"
"Calder Drive / Calder Gardens","EH11 4LN","<a href=""http://www.edinburgh.gov.uk/directory_record/179340/city_of_edinburgh_council""> City of Edinburgh Council </a>",Calders,,45,"Studio Flats:			0
1 Bedroom Flats:		45
2 Bedroom Flats:		0
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",Yes,Yes,Yes,"55.91873046243603,-3.2909417152404785"
"Calder Place","EH11 4LR","<a href="" http://www.edinburgh.gov.uk/directory_record/179349/blackwood_housing_association""> Blackwood Housing Association </a>",Calders,"<a href=""http://www.mbha.org.uk/housing/our-properties/calder-place/""> Calder Place </a>",5,"Studio Flats:		0
1 Bedroom Flats:		0
2 Bedroom Flats:		5
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.918958921534205,-3.2921648025512695"
"Castlebrae Glebe","EH16 4BD","<a href=""http://www.edinburgh.gov.uk/directory_record/179339/bield_housing_association""> Bield Housing Association </a>",Craigmillar,"<a title=""Castlebrae Glebe"" href=""http://www.bield.co.uk/3274f6b7dd71480da9e91ff2de1ed870?site=0770102c-09d2-4e82-8e3c-fcd8fb1e49a5"" target=""_top"">Bield Housing & Care: Castlebrae Glebe</a>",11,"Studio Flats:			0
1 Bedroom Flats:		11
2 Bedroom Flats:		0
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,Yes,"55.9316543208777,-3.142240047454834"
"Cathay Court, 1 Dorset Place","EH11 1JG","<a href="" http://www.edinburgh.gov.uk/directory_record/179344/dunedin_canmore_housing""> Dunedin Canmore Housing </a>",Merchiston,,33,"Studio Flats:			0
1 Bedroom Flats:		33
2 Bedroom Flats:		0
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.9386915026331,-3.2170844078063965"
"Chesser Court, 511 Gorgie Road","EH14 1SR","<a href="" http://www.edinburgh.gov.uk/directory_record/179344/dunedin_canmore_housing""> Dunedin Canmore Housing </a>",Chesser,,40,"Studio Flats:			6
1 Bedroom Flats:		34
2 Bedroom Flats:		0
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",No,No,No,"55.93074678594781,-3.2501184940338135"
"Chesser Loan / Laichfield","EH14 1UR","<a href=""http://www.edinburgh.gov.uk/directory_record/179340/city_of_edinburgh_council""> City of Edinburgh Council </a>",Chesser,,53,"Studio Flats:			0
1 Bedroom Flats:		53
2 Bedroom Flats:		0
3 Bedroom Flats:		0
4 Bedroom Flats:		0
5 Bedroom Flats:		0
Cottages:			0
1 Bedroom Bungalows:	0
2 Bedroom Bungalows:	0
",Yes,Yes,Yes,"55.928174319770996,-3.2522106170654297"
